Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
13033,15,39,36,27,18,7,5,17,8,19,2,6
2E4.130,6,21,6,18,16,8,11,30,14,22,5,18
36900,8,12,12,19,9,10,1,1,3,23,2,3
6454,25,47,70,85,28,29,8,47,16,79,8,23
6GAL,112,96,95,119,80,53,52,98,42,82,21,42
A2Z30_08115,2,6,9,7,5,9,4,5,2,2,0,0
AADAC,0,1,0,2,0,2,0,3,1,1,0,0
AAE3,108,99,118,133,82,56,52,115,56,176,27,48
AAEL002956,80,90,96,120,57,34,103,228,96,109,57,113
AAEL003481,15,10,5,28,15,19,6,30,10,23,3,11
AAEL003512,142,124,153,234,107,79,49,107,46,122,20,35
AAEL004607,0,5,10,1,0,1,2,2,2,2,1,3
AAEL005527,14,19,34,25,11,14,8,26,14,29,4,3
AAEL011789,157,154,150,224,141,119,112,208,118,187,50,92
AAO2,16,45,55,42,29,18,34,69,34,57,23,29
Aar2,125,59,71,76,47,52,51,114,83,151,27,43
aarA,3,8,6,16,8,3,2,0,2,13,0,1
ABC1687,7,13,10,16,18,8,14,34,11,24,2,8
ABC1K1,50,41,45,69,46,24,44,98,59,70,21,33
ABCA1,16,48,73,62,36,22,23,40,19,53,15,9
abcA7,197,189,249,270,173,161,141,314,179,390,99,159
ABCB1,2,13,18,21,9,4,9,17,11,43,11,26
ABCB25,5,3,6,6,2,1,8,10,3,6,2,2
abcB3,6,3,1,2,5,1,0,4,0,5,0,1
Abcb4,32,63,85,121,46,31,26,70,27,99,24,23
Abcb6,4,8,8,22,27,13,26,63,31,33,14,24
Abcb7,10,17,20,17,13,5,4,7,2,26,5,6
ABCC1,66,68,66,133,89,88,84,185,74,158,44,61
ABCC2,49,45,88,111,64,31,57,109,57,178,29,43
abcC3,7,3,10,17,6,7,6,18,7,15,8,10
ABCC4,131,208,206,254,105,76,114,251,87,263,59,101
abcC8,6,7,17,13,4,7,20,39,22,26,7,21
abcD2,49,46,69,63,47,40,32,61,45,121,32,28
Abcd3,115,97,97,104,70,51,35,62,43,121,22,48
ABCF2,4,7,9,6,0,2,9,13,10,14,7,8
Abcf3,13,19,39,59,50,31,31,90,40,105,25,28
ABCF4,14,37,37,33,24,6,23,19,15,24,3,11
ABCG2,69,76,104,118,78,56,32,57,34,124,14,23
ABCG25,14,16,10,15,10,6,13,31,12,34,6,17
ABCG26,28,57,68,83,26,35,21,45,31,79,14,17
ABCG5,8,15,18,16,15,1,17,42,15,46,19,24
ABCG7,47,37,38,58,36,37,22,61,30,67,15,28
ABCI20,34,54,61,76,47,31,30,57,35,96,24,35
abfB,19,29,45,43,20,7,39,85,48,97,17,17
abhd11,6,12,20,23,5,6,8,21,13,20,5,8
abhd13,49,68,110,107,58,40,21,55,25,161,22,21
ABHD17A,99,134,158,145,90,100,63,123,81,221,41,52
Abhd17b,106,106,110,131,69,58,71,144,68,192,41,41
abhd17c,21,18,21,21,10,18,11,22,13,25,3,5
ABHD3,2,2,5,121,70,48,32,68,24,74,19,30
abkC,56,82,107,86,54,34,21,39,16,88,11,22
abkD,1,1,1,1,1,0,2,3,1,3,2,1
ACAA1,19,25,16,16,10,8,18,22,10,15,6,12
Acaa1a,155,162,166,222,104,80,37,56,22,80,15,35
Acaa1b,75,103,102,144,52,46,24,34,6,45,14,18
ACAC,59,74,89,125,84,64,58,128,54,125,52,67
ACACA,1,1,3,6,3,4,2,10,4,10,2,3
ACAD11,24,19,31,15,18,4,14,28,18,34,6,9
acadsb,56,76,91,85,32,32,42,61,28,71,15,21
acbd6,26,30,61,65,29,20,18,54,26,56,12,29
ACBP2,57,68,104,106,40,59,33,91,21,57,18,28
ACBP3,43,75,99,112,53,32,52,88,48,139,25,52
ACC1,43,50,91,88,44,27,29,51,30,94,20,13
accA,4,2,10,18,5,8,7,24,2,18,2,9
AcCoAS,3,1,0,2,0,0,1,5,2,1,1,1
aceE,1,6,7,8,6,2,68,182,79,81,60,84
Acel_1111,15,31,51,41,22,24,5,29,6,34,6,10
ACER3,4,6,5,16,18,6,7,15,11,16,6,5
ACF2,20,30,34,38,19,10,12,37,16,21,13,10
ACHE,70,65,58,70,36,37,29,105,47,96,23,50
ackA,116,107,111,154,80,82,56,128,73,121,26,58
Acly,415,374,558,609,342,266,308,565,306,542,165,294
Acot11,43,37,41,58,34,29,17,31,19,48,10,14
ACOX3,64,58,83,85,52,54,53,103,61,135,39,55
ACOXL,1,6,8,6,4,5,5,10,4,11,5,6
ACP2,34,38,63,105,43,48,49,98,51,114,28,45
ACP5,395,540,588,836,442,347,408,819,406,946,232,379
ACP7,3,11,15,18,6,6,11,14,5,16,4,7
acr-16,0,3,3,3,4,2,7,11,7,17,5,3
acr-7,0,0,0,0,0,0,21,28,15,17,12,20
acsA,0,0,1,1,0,0,1,5,2,9,2,1
ACSBG2,141,188,247,321,145,105,79,206,88,305,49,88
Acsf3,37,54,92,70,39,23,45,76,35,78,34,44
ACT1,1,0,3,1,0,5,3,3,7,2,2,7
acuI,6,7,12,22,14,6,6,24,3,36,8,7
Acy1,15,12,24,13,6,11,9,31,8,13,3,6
ada,183,226,279,260,158,137,88,186,71,359,66,88
Adamts20,87,69,90,82,40,46,92,161,120,179,50,82
ADAMTS9,0,1,1,0,0,1,13,26,14,5,1,1
ADCY10,113,113,122,177,134,80,65,146,87,266,56,86
ADE1,23,42,35,95,38,15,14,22,8,40,8,9
ADGB,8,12,5,93,59,35,35,78,26,114,19,37
ADGRB3,9,12,10,34,8,6,2,18,4,16,2,6
adhA,65,38,62,92,67,58,19,54,35,118,22,37
adhC2,67,85,68,75,48,26,17,51,21,73,12,17
adhT,29,41,62,68,28,18,18,34,27,67,3,17
ADJ80_02965,5,11,19,16,9,10,13,12,4,11,7,11
ADK,290,293,305,399,138,106,61,130,48,157,35,46
ADK2,0,3,2,2,3,2,10,22,14,12,9,11
ADL1,12,23,17,31,23,12,11,23,11,24,5,8
Adprm,210,149,147,148,91,90,64,152,85,207,43,56
adrm1b,30,31,39,47,38,24,14,19,20,41,7,14
ADS3,152,97,128,170,104,96,84,152,87,241,47,108
AFC1,8,17,22,27,11,6,4,8,2,15,1,2
AFUA_2G14360,9,6,14,27,20,12,8,13,16,23,5,7
AG118,0,2,6,7,0,3,9,18,15,5,1,0
agaA,67,67,45,18,19,11,36,89,48,59,23,33
agaB34,88,96,96,95,32,38,37,86,37,69,22,20
AGAL3,28,61,62,67,33,23,30,78,34,74,20,28
AGAP006244,68,84,90,108,61,68,82,170,72,196,51,61
Agbl1,0,0,3,6,3,3,4,9,3,9,1,6
Agbl5,50,51,55,57,31,24,29,53,34,55,24,22
AGD12,35,39,58,91,52,32,45,65,47,119,18,35
AGL,25,33,40,21,25,17,16,46,21,41,6,24
AGL188W,31,21,24,29,12,9,15,13,5,14,2,3
aglC,7,8,11,7,5,5,28,34,24,21,5,12
ags1,0,2,0,3,3,0,1,4,1,3,1,1
AIDA,16,30,22,28,18,13,27,32,19,60,8,15
aidB,1,1,4,0,3,3,1,5,5,5,1,3
aifA,70,66,68,123,63,60,32,58,41,122,16,25
aifB,168,156,159,160,75,89,70,142,77,142,34,62
AIP1,125,106,116,137,79,65,123,264,148,250,75,111
AIP1-1,36,74,70,194,113,95,71,131,42,133,27,53
ak1,88,101,119,145,93,46,105,244,120,222,50,53
AK7,227,276,354,362,181,160,126,275,145,391,78,99
AK812_SmicGene10896,20,21,36,29,18,22,3,11,6,61,6,6
AK812_SmicGene11672,38,37,32,35,13,8,10,13,8,13,7,9
